id,word,meaningVi,topic,cefr,example,pooTip,quiz
13,fine,nghĩa cơ bản của 'fine',greetings,A1,I can use 'fine' in a simple sentence.,"Học từ 'fine' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'fine' thuộc chủ đề nào?"", 'answer': 'greetings'}"
14,okay,nghĩa cơ bản của 'okay',greetings,A1,I can use 'okay' in a simple sentence.,"Học từ 'okay' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'okay' thuộc chủ đề nào?"", 'answer': 'greetings'}"
15,yes,nghĩa cơ bản của 'yes',greetings,A1,I can use 'yes' in a simple sentence.,"Học từ 'yes' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'yes' thuộc chủ đề nào?"", 'answer': 'greetings'}"
16,no,nghĩa cơ bản của 'no',greetings,A1,I can use 'no' in a simple sentence.,"Học từ 'no' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'no' thuộc chủ đề nào?"", 'answer': 'greetings'}"
17,again,nghĩa cơ bản của 'again',greetings,A1,I can use 'again' in a simple sentence.,"Học từ 'again' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'again' thuộc chủ đề nào?"", 'answer': 'greetings'}"
18,today,nghĩa cơ bản của 'today',greetings,A1,I can use 'today' in a simple sentence.,"Học từ 'today' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'today' thuộc chủ đề nào?"", 'answer': 'greetings'}"
19,tomorrow,nghĩa cơ bản của 'tomorrow',greetings,A1,I can use 'tomorrow' in a simple sentence.,"Học từ 'tomorrow' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'tomorrow' thuộc chủ đề nào?"", 'answer': 'greetings'}"
20,friend,nghĩa cơ bản của 'friend',greetings,A1,I can use 'friend' in a simple sentence.,"Học từ 'friend' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'friend' thuộc chủ đề nào?"", 'answer': 'greetings'}"
21,family,gia đình,family,A1,I can use 'family' in a simple sentence.,"Học từ 'family' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'family' thuộc chủ đề nào?"", 'answer': 'family'}"
22,mother,mẹ,family,A1,I can use 'mother' in a simple sentence.,"Học từ 'mother' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'mother' thuộc chủ đề nào?"", 'answer': 'family'}"
23,father,bố,family,A1,I can use 'father' in a simple sentence.,"Học từ 'father' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'father' thuộc chủ đề nào?"", 'answer': 'family'}"
24,parent,nghĩa cơ bản của 'parent',family,A1,I can use 'parent' in a simple sentence.,"Học từ 'parent' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'parent' thuộc chủ đề nào?"", 'answer': 'family'}"
25,sister,nghĩa cơ bản của 'sister',family,A1,I can use 'sister' in a simple sentence.,"Học từ 'sister' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'sister' thuộc chủ đề nào?"", 'answer': 'family'}"
26,brother,nghĩa cơ bản của 'brother',family,A1,I can use 'brother' in a simple sentence.,"Học từ 'brother' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'brother' thuộc chủ đề nào?"", 'answer': 'family'}"
27,child,nghĩa cơ bản của 'child',family,A1,I can use 'child' in a simple sentence.,"Học từ 'child' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'child' thuộc chủ đề nào?"", 'answer': 'family'}"
28,children,nghĩa cơ bản của 'children',family,A1,I can use 'children' in a simple sentence.,"Học từ 'children' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'children' thuộc chủ đề nào?"", 'answer': 'family'}"
29,son,nghĩa cơ bản của 'son',family,A1,I can use 'son' in a simple sentence.,"Học từ 'son' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'son' thuộc chủ đề nào?"", 'answer': 'family'}"
30,daughter,nghĩa cơ bản của 'daughter',family,A1,I can use 'daughter' in a simple sentence.,"Học từ 'daughter' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'daughter' thuộc chủ đề nào?"", 'answer': 'family'}"
31,grandmother,nghĩa cơ bản của 'grandmother',family,A1,I can use 'grandmother' in a simple sentence.,"Học từ 'grandmother' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'grandmother' thuộc chủ đề nào?"", 'answer': 'family'}"
32,grandfather,nghĩa cơ bản của 'grandfather',family,A1,I can use 'grandfather' in a simple sentence.,"Học từ 'grandfather' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'grandfather' thuộc chủ đề nào?"", 'answer': 'family'}"
33,aunt,nghĩa cơ bản của 'aunt',family,A1,I can use 'aunt' in a simple sentence.,"Học từ 'aunt' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'aunt' thuộc chủ đề nào?"", 'answer': 'family'}"
34,uncle,nghĩa cơ bản của 'uncle',family,A1,I can use 'uncle' in a simple sentence.,"Học từ 'uncle' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'uncle' thuộc chủ đề nào?"", 'answer': 'family'}"
35,cousin,nghĩa cơ bản của 'cousin',family,A1,I can use 'cousin' in a simple sentence.,"Học từ 'cousin' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'cousin' thuộc chủ đề nào?"", 'answer': 'family'}"
36,wife,nghĩa cơ bản của 'wife',family,A1,I can use 'wife' in a simple sentence.,"Học từ 'wife' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'wife' thuộc chủ đề nào?"", 'answer': 'family'}"
37,husband,nghĩa cơ bản của 'husband',family,A1,I can use 'husband' in a simple sentence.,"Học từ 'husband' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'husband' thuộc chủ đề nào?"", 'answer': 'family'}"
38,baby,nghĩa cơ bản của 'baby',family,A1,I can use 'baby' in a simple sentence.,"Học từ 'baby' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'baby' thuộc chủ đề nào?"", 'answer': 'family'}"
39,home,nghĩa cơ bản của 'home',family,A1,I can use 'home' in a simple sentence.,"Học từ 'home' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'home' thuộc chủ đề nào?"", 'answer': 'family'}"
40,love,nghĩa cơ bản của 'love',family,A1,I can use 'love' in a simple sentence.,"Học từ 'love' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'love' thuộc chủ đề nào?"", 'answer': 'family'}"
41,school,trường học,school,A1,I can use 'school' in a simple sentence.,"Học từ 'school' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'school' thuộc chủ đề nào?"", 'answer': 'school'}"
42,student,học sinh,school,A1,I can use 'student' in a simple sentence.,"Học từ 'student' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'student' thuộc chủ đề nào?"", 'answer': 'school'}"
43,teacher,giáo viên,school,A1,I can use 'teacher' in a simple sentence.,"Học từ 'teacher' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'teacher' thuộc chủ đề nào?"", 'answer': 'school'}"
44,class,nghĩa cơ bản của 'class',school,A1,I can use 'class' in a simple sentence.,"Học từ 'class' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'class' thuộc chủ đề nào?"", 'answer': 'school'}"
45,lesson,nghĩa cơ bản của 'lesson',school,A1,I can use 'lesson' in a simple sentence.,"Học từ 'lesson' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'lesson' thuộc chủ đề nào?"", 'answer': 'school'}"
46,book,nghĩa cơ bản của 'book',school,A1,I can use 'book' in a simple sentence.,"Học từ 'book' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'book' thuộc chủ đề nào?"", 'answer': 'school'}"
47,pen,nghĩa cơ bản của 'pen',school,A1,I can use 'pen' in a simple sentence.,"Học từ 'pen' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'pen' thuộc chủ đề nào?"", 'answer': 'school'}"
48,pencil,nghĩa cơ bản của 'pencil',school,A1,I can use 'pencil' in a simple sentence.,"Học từ 'pencil' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'pencil' thuộc chủ đề nào?"", 'answer': 'school'}"
49,paper,nghĩa cơ bản của 'paper',school,A1,I can use 'paper' in a simple sentence.,"Học từ 'paper' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'paper' thuộc chủ đề nào?"", 'answer': 'school'}"
50,desk,nghĩa cơ bản của 'desk',school,A1,I can use 'desk' in a simple sentence.,"Học từ 'desk' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'desk' thuộc chủ đề nào?"", 'answer': 'school'}"
51,chair,nghĩa cơ bản của 'chair',school,A1,I can use 'chair' in a simple sentence.,"Học từ 'chair' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'chair' thuộc chủ đề nào?"", 'answer': 'school'}"
52,board,nghĩa cơ bản của 'board',school,A1,I can use 'board' in a simple sentence.,"Học từ 'board' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'board' thuộc chủ đề nào?"", 'answer': 'school'}"
53,answer,nghĩa cơ bản của 'answer',school,A1,I can use 'answer' in a simple sentence.,"Học từ 'answer' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'answer' thuộc chủ đề nào?"", 'answer': 'school'}"
54,question,nghĩa cơ bản của 'question',school,A1,I can use 'question' in a simple sentence.,"Học từ 'question' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'question' thuộc chủ đề nào?"", 'answer': 'school'}"
55,homework,nghĩa cơ bản của 'homework',school,A1,I can use 'homework' in a simple sentence.,"Học từ 'homework' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'homework' thuộc chủ đề nào?"", 'answer': 'school'}"
56,study,học,school,A1,I can use 'study' in a simple sentence.,"Học từ 'study' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'study' thuộc chủ đề nào?"", 'answer': 'school'}"
57,read,đọc,school,A1,I can use 'read' in a simple sentence.,"Học từ 'read' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'read' thuộc chủ đề nào?"", 'answer': 'school'}"
58,write,viết,school,A1,I can use 'write' in a simple sentence.,"Học từ 'write' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'write' thuộc chủ đề nào?"", 'answer': 'school'}"
59,listen,nghe,school,A1,I can use 'listen' in a simple sentence.,"Học từ 'listen' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'listen' thuộc chủ đề nào?"", 'answer': 'school'}"
60,speak,nói,school,A1,I can use 'speak' in a simple sentence.,"Học từ 'speak' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'speak' thuộc chủ đề nào?"", 'answer': 'school'}"
61,wake,nghĩa cơ bản của 'wake',daily_actions,A1,I can use 'wake' in a simple sentence.,"Học từ 'wake' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'wake' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
62,sleep,nghĩa cơ bản của 'sleep',daily_actions,A1,I can use 'sleep' in a simple sentence.,"Học từ 'sleep' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'sleep' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
63,eat,nghĩa cơ bản của 'eat',daily_actions,A1,I can use 'eat' in a simple sentence.,"Học từ 'eat' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'eat' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
64,drink,nghĩa cơ bản của 'drink',daily_actions,A1,I can use 'drink' in a simple sentence.,"Học từ 'drink' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'drink' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
65,walk,nghĩa cơ bản của 'walk',daily_actions,A1,I can use 'walk' in a simple sentence.,"Học từ 'walk' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'walk' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
66,run,nghĩa cơ bản của 'run',daily_actions,A1,I can use 'run' in a simple sentence.,"Học từ 'run' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'run' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
67,work,nghĩa cơ bản của 'work',daily_actions,A1,I can use 'work' in a simple sentence.,"Học từ 'work' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'work' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
68,rest,nghĩa cơ bản của 'rest',daily_actions,A1,I can use 'rest' in a simple sentence.,"Học từ 'rest' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'rest' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
69,wash,nghĩa cơ bản của 'wash',daily_actions,A1,I can use 'wash' in a simple sentence.,"Học từ 'wash' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'wash' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
70,cook,nghĩa cơ bản của 'cook',daily_actions,A1,I can use 'cook' in a simple sentence.,"Học từ 'cook' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'cook' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
71,clean,nghĩa cơ bản của 'clean',daily_actions,A1,I can use 'clean' in a simple sentence.,"Học từ 'clean' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'clean' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
72,open,nghĩa cơ bản của 'open',daily_actions,A1,I can use 'open' in a simple sentence.,"Học từ 'open' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'open' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
73,close,nghĩa cơ bản của 'close',daily_actions,A1,I can use 'close' in a simple sentence.,"Học từ 'close' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'close' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
74,start,nghĩa cơ bản của 'start',daily_actions,A1,I can use 'start' in a simple sentence.,"Học từ 'start' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'start' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
75,finish,nghĩa cơ bản của 'finish',daily_actions,A1,I can use 'finish' in a simple sentence.,"Học từ 'finish' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'finish' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
76,wait,nghĩa cơ bản của 'wait',daily_actions,A1,I can use 'wait' in a simple sentence.,"Học từ 'wait' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'wait' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
77,try,nghĩa cơ bản của 'try',daily_actions,A1,I can use 'try' in a simple sentence.,"Học từ 'try' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'try' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
78,need,nghĩa cơ bản của 'need',daily_actions,A1,I can use 'need' in a simple sentence.,"Học từ 'need' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'need' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
79,want,nghĩa cơ bản của 'want',daily_actions,A1,I can use 'want' in a simple sentence.,"Học từ 'want' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'want' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
80,use,nghĩa cơ bản của 'use',daily_actions,A1,I can use 'use' in a simple sentence.,"Học từ 'use' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'use' thuộc chủ đề nào?"", 'answer': 'daily_actions'}"
81,food,nghĩa cơ bản của 'food',food,A1,I can use 'food' in a simple sentence.,"Học từ 'food' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'food' thuộc chủ đề nào?"", 'answer': 'food'}"
82,rice,nghĩa cơ bản của 'rice',food,A1,I can use 'rice' in a simple sentence.,"Học từ 'rice' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'rice' thuộc chủ đề nào?"", 'answer': 'food'}"
83,bread,nghĩa cơ bản của 'bread',food,A1,I can use 'bread' in a simple sentence.,"Học từ 'bread' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'bread' thuộc chủ đề nào?"", 'answer': 'food'}"
84,egg,nghĩa cơ bản của 'egg',food,A1,I can use 'egg' in a simple sentence.,"Học từ 'egg' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'egg' thuộc chủ đề nào?"", 'answer': 'food'}"
85,fish,nghĩa cơ bản của 'fish',food,A1,I can use 'fish' in a simple sentence.,"Học từ 'fish' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'fish' thuộc chủ đề nào?"", 'answer': 'food'}"
86,meat,nghĩa cơ bản của 'meat',food,A1,I can use 'meat' in a simple sentence.,"Học từ 'meat' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'meat' thuộc chủ đề nào?"", 'answer': 'food'}"
87,chicken,nghĩa cơ bản của 'chicken',food,A1,I can use 'chicken' in a simple sentence.,"Học từ 'chicken' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'chicken' thuộc chủ đề nào?"", 'answer': 'food'}"
88,vegetable,nghĩa cơ bản của 'vegetable',food,A1,I can use 'vegetable' in a simple sentence.,"Học từ 'vegetable' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'vegetable' thuộc chủ đề nào?"", 'answer': 'food'}"
89,fruit,nghĩa cơ bản của 'fruit',food,A1,I can use 'fruit' in a simple sentence.,"Học từ 'fruit' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'fruit' thuộc chủ đề nào?"", 'answer': 'food'}"
90,apple,nghĩa cơ bản của 'apple',food,A1,I can use 'apple' in a simple sentence.,"Học từ 'apple' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'apple' thuộc chủ đề nào?"", 'answer': 'food'}"
91,banana,nghĩa cơ bản của 'banana',food,A1,I can use 'banana' in a simple sentence.,"Học từ 'banana' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'banana' thuộc chủ đề nào?"", 'answer': 'food'}"
92,water,nghĩa cơ bản của 'water',food,A1,I can use 'water' in a simple sentence.,"Học từ 'water' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'water' thuộc chủ đề nào?"", 'answer': 'food'}"
93,milk,nghĩa cơ bản của 'milk',food,A1,I can use 'milk' in a simple sentence.,"Học từ 'milk' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'milk' thuộc chủ đề nào?"", 'answer': 'food'}"
94,coffee,nghĩa cơ bản của 'coffee',food,A1,I can use 'coffee' in a simple sentence.,"Học từ 'coffee' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'coffee' thuộc chủ đề nào?"", 'answer': 'food'}"
95,tea,nghĩa cơ bản của 'tea',food,A1,I can use 'tea' in a simple sentence.,"Học từ 'tea' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'tea' thuộc chủ đề nào?"", 'answer': 'food'}"
96,sugar,nghĩa cơ bản của 'sugar',food,A1,I can use 'sugar' in a simple sentence.,"Học từ 'sugar' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'sugar' thuộc chủ đề nào?"", 'answer': 'food'}"
97,salt,nghĩa cơ bản của 'salt',food,A1,I can use 'salt' in a simple sentence.,"Học từ 'salt' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'salt' thuộc chủ đề nào?"", 'answer': 'food'}"
98,breakfast,nghĩa cơ bản của 'breakfast',food,A1,I can use 'breakfast' in a simple sentence.,"Học từ 'breakfast' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'breakfast' thuộc chủ đề nào?"", 'answer': 'food'}"
99,lunch,nghĩa cơ bản của 'lunch',food,A1,I can use 'lunch' in a simple sentence.,"Học từ 'lunch' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'lunch' thuộc chủ đề nào?"", 'answer': 'food'}"
100,dinner,nghĩa cơ bản của 'dinner',food,A1,I can use 'dinner' in a simple sentence.,"Học từ 'dinner' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'dinner' thuộc chủ đề nào?"", 'answer': 'food'}"
101,time,nghĩa cơ bản của 'time',time,A1,I can use 'time' in a simple sentence.,"Học từ 'time' bằng 3 bước: nghe mẫu, đặt một câu ngắn, rồi ôn lại trong quiz bọt biển.","{'question': ""'time' thuộc chủ đề nào?"", 'answer': 'time'}"
